Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,Spatial_resolution_m,Resolution_class,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Best_model,Training_samples,Study_scale,AGB_unit,RMSE
M1,S1,Betul,Indirabai & Nilsson 2024,2024,Ecological Informatics,India,South-Asia,Tropical,Deciduous forest,Hilly,Yes,GEDI Multi-level,100,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,Yes,112,Local,Mg/ha,13.9
M2,S1,Mudumalai,Indirabai & Nilsson 2024,2024,Ecological Informatics,India,South-Asia,Tropical,Deciduous forest,Hilly,Yes,GEDI Multi-level,100,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,No,52,Local,Mg/ha,29.1
M3,S2,GB-AJK-Mountain,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,No,540,Regional,Mg/ha,95.0
M4,S2,GB-AJK-Mountain,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,Yes,540,Regional,Mg/ha,39.6
M5,S2,Mangrove-Pakistan,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Tropical,Mangrove,Coastal,Yes,GEDI L4A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,No,54,Regional,Mg/ha,8.4
M6,S2,Mangrove-Pakistan,Nazir et al. 2025,2025,Forest Ecology and Management,Pakistan,South-Asia,Tropical,Mangrove,Coastal,Yes,GEDI L2A,25,Very-high,LiDAR-only,No,Statistical,Linear Regression,Yes,54,Regional,Mg/ha,4.1
M12,S4,Lope-Gabon,Liu et al. 2024,2024,International Journal of Remote Sensing,Gabon,Central-Africa,Tropical,Tropical moist forest,Mountainous,Yes,GEDI Multi-level,50,Medium,SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,745,Local,Mg/ha,115.3
M13,S4,Mondah-Gabon,Liu et al. 2024,2024,International Journal of Remote Sensing,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI Multi-level,50,Medium,SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,314,Local,Mg/ha,117.8
M14,S5,Xinping-County,Yang et al. 2025a,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2B,25,Fine,LiDAR-only,No,Machine-learning,Random Forest,No,34,Regional,Mg/ha,8.21
M15,S5,Xinping-County,Yang et al. 2025a,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2B,25,Fine,LiDAR-only,No,Machine-learning,SVM,No,34,Regional,Mg/ha,15.07
M16,S5,Xinping-County,Yang et al. 2025a,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L2B,25,Fine,LiDAR-only,No,Machine-learning,Stacking Ensemble,Yes,34,Regional,Mg/ha,7.04
M19,S7,India-forest-region,Mohite et al. 2024,2024,International Journal of Remote Sensing,India,South-Asia,Tropical,Mixed forest,Complex terrain,Yes,GEDI L4A,100,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,,National,Mg/ha,47.2
M28,S9,Haldwani,Khati et al. 2021,2021,Frontiers in Earth Science,India,South-Asia,Subtropical,Plantation,Flat / Lowland,No,Missing,25,Medium,SAR-only,No,Statistical,Water Cloud Model (WCM),No,46,Local,Mg/ha,65.0
M29,S9,Haldwani,Khati et al. 2021,2021,Frontiers in Earth Science,India,South-Asia,Subtropical,Plantation,Flat / Lowland,No,Missing,25,Medium,SAR-only,No,Statistical,Water Cloud Model (WCM),Yes,46,Local,Mg/ha,55.0
M30,S9,Haldwani,Khati et al. 2021,2021,Frontiers in Earth Science,India,South-Asia,Subtropical,Plantation,Flat / Lowland,Yes,GEDI L2A,25,Medium,SAR+LiDAR,Yes,Statistical,Water Cloud Model (WCM),No,227,Local,Mg/ha,66.0
M31,S10,Lope-Gabon,Choi et al. 2023,2023,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Hilly,Yes,GEDI Multi-level,100,Low,LiDAR-only,No,Statistical,Allometric Model,No,,Local,Mg/ha,56.0
M32,S10,Lope-Gabon,Choi et al. 2023,2023,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Hilly,Yes,GEDI Multi-level,100,Low,LiDAR-only,No,Statistical,Allometric Model,No,,Local,Mg/ha,49.0
M33,S10,Lope-Gabon,Choi et al. 2023,2023,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Hilly,Yes,GEDI Multi-level,100,Low,SAR+LiDAR,Yes,Statistical,Allometric Model,No,,Local,Mg/ha,107.0
M34,S10,Lope-Gabon,Choi et al. 2023,2023,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Hilly,Yes,GEDI Multi-level,100,Low,SAR+LiDAR,Yes,Statistical,Allometric Model,Yes,,Local,Mg/ha,100.0
M47,S12,Haldwani-TCFD,Musthafa & Singh 2022,2022,Advances in Space Research,India,South-Asia,Subtropical,Plantation,Hilly,Yes,GEDI L2A,25,Fine,LiDAR-only,No,Statistical,Multiple Linear Regression,No,34,Local,Mg/ha,45.46
M48,S12,Haldwani-TCFD,Musthafa & Singh 2022,2022,Advances in Space Research,India,South-Asia,Subtropical,Plantation,Hilly,Yes,GEDI L2A,25,Fine,LiDAR-only,No,Statistical,Multiple Linear Regression,No,34,Local,Mg/ha,46.46
M49,S12,Haldwani-TCFD,Musthafa & Singh 2022,2022,Advances in Space Research,India,South-Asia,Subtropical,Plantation,Hilly,Yes,GEDI L2A,25,Fine,LiDAR-only,No,Statistical,Multiple Linear Regression,No,34,Local,Mg/ha,44.04
M50,S12,Haldwani-TCFD,Musthafa & Singh 2022,2022,Advances in Space Research,India,South-Asia,Subtropical,Plantation,Hilly,Yes,GEDI L2A,25,Fine,LiDAR-only,No,Statistical,Multiple Linear Regression,Yes,34,Local,Mg/ha,32.06
M51,S13,Heihe-River-Basin,Tian et al. 2012,2012,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Arid,Shrubland,Mountainous,No,Missing,20,Fine,Optical-only,No,Machine-learning,kNN,No,75,Local,Mg/ha,20.7
M52,S13,Heihe-River-Basin,Tian et al. 2012,2012,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Arid,Shrubland,Mountainous,No,Missing,20,Fine,Optical+SAR,No,Statistical,Linear Regression,No,38,Local,Mg/ha,37.4
M53,S13,Heihe-River-Basin,Tian et al. 2012,2012,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Arid,Shrubland,Mountainous,No,Missing,20,Fine,LiDAR-only,No,Statistical,Linear Regression,Yes,50,Local,Mg/ha,15.24
M54,S14,Wangyedian-forest-farm,Jiang et al. 2022,2022,Remote Sensing,China,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Statistical,Multiple Linear Regression,No,62,Local,Mg/ha,44.81
M55,S14,Wangyedian-forest-farm,Jiang et al. 2022,2022,Remote Sensing,China,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,SVM,No,62,Local,Mg/ha,40.36
M56,S14,Wangyedian-forest-farm,Jiang et al. 2022,2022,Remote Sensing,China,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Deep-learning,Backpropagation Neural Network,No,62,Local,Mg/ha,42.39
M57,S14,Wangyedian-forest-farm,Jiang et al. 2022,2022,Remote Sensing,China,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,Random Forest,Yes,62,Local,Mg/ha,37.75
M58,S14,Wangyedian-forest-farm,Jiang et al. 2022,2022,Remote Sensing,China,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Statistical,Regression Kriging,Yes,62,Local,Mg/ha,17.91
M111,S27,Chobe-National-Park,David et al. 2022,2022,Remote Sensing of Environment,Botswana,South-Africa,Arid,Shrubland,Flat / Lowland,No,Missing,10,Fine,Optical+SAR,Yes,Statistical,Multiple Linear Regression,No,71,Local,Mg/ha,0.45
M112,S27,Chobe-National-Park,David et al. 2022,2022,Remote Sensing of Environment,Botswana,South-Africa,Arid,Shrubland,Flat / Lowland,No,Missing,10,Fine,Optical+SAR,Yes,Machine-learning,Random Forest,Yes,71,Local,Mg/ha,0.25
M117,S29,Huangfengqiao-Forest-Farm,Li et al. 2021,2021,Remote Sensing,China,East-Asia,Subtropical,Plantation,Mountainous,No,Missing,10,Fine,Optical-only,Yes,Machine-learning,Stacking Ensemble,Yes,50,Local,Mg/ha,15.79
M126,S33,TGR-China,Khan et al. 2024,2024,Geocarto International,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,Yes,GEDI L4B,1000,Coarse,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,37456,Regional,Mg/ha,12.3
M127,S33,TGR-China,Khan et al. 2024,2024,Geocarto International,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,Yes,GEDI L4B,1000,Coarse,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,No,12291,Regional,Mg/ha,18.7
M128,S34,Gongju-Sejong,Nguyen et al. 2015,2015,Sensors,South Korea,East-Asia,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,kNN,No,47,Local,Mg/ha,24.1
M129,S34,Gongju-Sejong,Nguyen et al. 2015,2015,Sensors,South Korea,East-Asia,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,kNN,No,47,Local,Mg/ha,24.1
M130,S34,Gongju-Sejong,Nguyen et al. 2015,2015,Sensors,South Korea,East-Asia,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,kNN,No,47,Local,Mg/ha,23.8
M131,S34,Gongju-Sejong,Nguyen et al. 2015,2015,Sensors,South Korea,East-Asia,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,kNN,Yes,47,Local,Mg/ha,22.5
M132,S97,TCFD-Haldwani,Padalia et al. 2023,2023,Ecological Informatics,India,South-Asia,Tropical,Plantation,Flat / Lowland,Yes,GEDI Multi-level,25,Fine,LiDAR-only,No,Machine-learning,Random Forest,No,25,Local,Mg/ha,20.1
M133,S97,TCFD-Haldwani,Padalia et al. 2023,2023,Ecological Informatics,India,South-Asia,Tropical,Plantation,Flat / Lowland,Yes,GEDI Multi-level,10,Fine,SAR-only,No,Machine-learning,Random Forest,No,,Local,Mg/ha,18.27
M134,S97,TCFD-Haldwani,Padalia et al. 2023,2023,Ecological Informatics,India,South-Asia,Tropical,Plantation,Flat / Lowland,Yes,GEDI Multi-level,30,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,,Local,Mg/ha,13.86
M141,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,Optical-only,No,Statistical,Stepwise regression,No,68,Local,Mg/ha,50.01
M142,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,Optical-only,No,Machine-learning,Boosting Trees,No,68,Local,Mg/ha,46.97
M143,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,Optical-only,No,Machine-learning,SVM,No,68,Local,Mg/ha,49.88
M144,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,Optical-only,No,Machine-learning,Bagging,No,68,Local,Mg/ha,45.4
M145,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Stepwise regression,No,68,Local,Mg/ha,31.85
M146,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Boosting Trees,No,68,Local,Mg/ha,33.69
M147,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,SVM,No,68,Local,Mg/ha,39.21
M148,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Bagging,No,68,Local,Mg/ha,35.93
M149,S36,Guangxi-Forests,Fan et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Plantation,Complex terrain,No,Missing,1,Fine,LiDAR+Optical,Yes,Statistical,Stepwise regression,Yes,68,Local,Mg/ha,28.85
M150,S37,Sierra-National-Forest,Anaya et al. 2009,2009,Remote Sensing of Environment,USA,North-America,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,SVM,No,,Local,Mg/ha,230.4
M151,S37,Sierra-National-Forest,Anaya et al. 2009,2009,Remote Sensing of Environment,USA,North-America,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Linear Regression,No,,Local,Mg/ha,209.4
M152,S37,Sierra-National-Forest,Anaya et al. 2009,2009,Remote Sensing of Environment,USA,North-America,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Exponential Regression,No,,Local,Mg/ha,172.0
M153,S37,Sierra-National-Forest,Anaya et al. 2009,2009,Remote Sensing of Environment,USA,North-America,Temperate,Coniferous forest,Mountainous,No,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Artificial Neural Network (ANN),Yes,,Local,Mg/ha,153.4
M154,S38,Noor-forest-regions,Moghimi et al. 2024,2024,Kuwait Journal of Science,Iran,East-Asia,Subtropical,Mixed forest,Flat / Lowland,No,Missing,10,Fine,Optical+SAR,Yes,Machine-learning,Random Forest,Yes,260,Local,Mg/ha,12.49
M155,S38,Noor-forest-regions,Moghimi et al. 2024,2024,Kuwait Journal of Science,Iran,East-Asia,Subtropical,Mixed forest,Flat / Lowland,No,Missing,10,Fine,Optical+SAR,Yes,Statistical,Linear Regression,No,260,Local,Mg/ha,14.79
M156,S39,Dry-Chaco,Potzschner et al. 2022,2022,Remote Sensing of Environment,Multiple,South-America,Tropical,Dry forest,Flat / Lowland,Yes,GEDI Derived Product,231,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Gradient Boosting,Yes,205,Multi-country,Mg/ha,15.1
M157,S40,Tropical-Africa,Baccini et al. 2008,2008,Environmental Research Letters,Multiple,Central-Africa,Tropical,Mixed forest,Complex terrain,No,Missing,1000,Coarse,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,1445,Multi-country,Mg/ha,50.5
M158,S41,Qinghai-Plantation,Tao et al. 2024,2024,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Plantation,Plateau,No,Missing,10,Fine,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,100,Local,Mg/ha,34.807
M159,S41,Qinghai-Plantation,Tao et al. 2024,2024,International Journal of Applied Earth Observation and Geoinformation,China,East-Asia,Temperate,Plantation,Plateau,No,Missing,10,Fine,LiDAR+Optical,Yes,Machine-learning,XGBoost,No,100,Local,Mg/ha,40.07
M160,S42,Loveh-forest-Iran,Attarchi & Gloaguen 2014,2014,Remote Sensing,Iran,East-Asia,Temperate,Deciduous forest,Mountainous,No,Missing,30,Medium,Optical+SAR,Yes,Statistical,Multiple Linear Regression,Yes,69,Local,Mg/ha,25.04
M161,S42,Loveh-forest-Iran,Attarchi & Gloaguen 2014,2014,Remote Sensing,Iran,East-Asia,Temperate,Deciduous forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Statistical,Multiple Linear Regression,No,69,Local,Mg/ha,31.5
M164,S44,Bhitarkanika-mangroves,Sanam et al. 2024,2024,Journal of the Indian Society of Remote Sensing,India,South-Asia,Tropical,Mangrove,Coastal,No,Missing,10,Fine,LiDAR+Optical,Yes,Statistical,Multiple Linear Regression,Yes,42,Local,Mg/ha,244.86
M165,S45,Shivamogga-forest,Musthafa and Singh 2022,2022,Frontiers in Forests and Global Change,India,South-Asia,Tropical,Mixed forest,Hilly,Yes,GEDI L2A,30,Fine,SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,103,Local,Mg/ha,19.35
M166,S45,Shivamogga-forest-SAR-only,Musthafa and Singh 2022,2022,Frontiers in Forests and Global Change,India,South-Asia,Tropical,Mixed forest,Hilly,No,Missing,30,Fine,SAR-only,No,Machine-learning,Random Forest,No,103,Local,Mg/ha,21.36
M167,S46,Lago-Grande-de-Curuai,Pereira et al. 2018,2018,Remote Sensing,Brazil,South-America,Tropical,Flooded forest,Flat / Lowland,No,Missing,20,Fine,SAR-only,No,Statistical,GWR,Yes,18,Local,Mg-ha,74.6
M168,S48,Mansehra-District,Imran et al. 2025,2025,Forests,Pakistan,South-Asia,Temperate,Coniferous forest,Hilly,Yes,GEDI L4A,30,Fine,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,93248,Local,Mg/ha,28.03
M169,S48,Mansehra-District,Imran et al. 2025,2025,Forests,Pakistan,South-Asia,Temperate,Coniferous forest,Hilly,Yes,GEDI L4A,30,Fine,LiDAR+Optical,Yes,Machine-learning,XGBoost,No,93248,Local,Mg/ha,29.35
M170,S48,Mansehra-District,Imran et al. 2025,2025,Forests,Pakistan,South-Asia,Temperate,Coniferous forest,Hilly,Yes,GEDI L4A,30,Fine,LiDAR+Optical,Yes,Machine-learning,Decision Tree,No,93248,Local,Mg/ha,31.22
M171,S49,Subtropical-China,Zhang et al. 2019,2019,Remote Sensing of Environment,China,East-Asia,Subtropical,Mixed forest,Complex terrain,No,Missing,1000,Coarse,LiDAR+Optical,Yes,Machine-learning,Cubist,Yes,1268,Regional,Mg/ha,45.5
M173,S51,Conghua-Guangdong,Shao et al. 2017,2017,IEEE JSTARS,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,30,Medium,Optical+SAR+LiDAR,Yes,Deep-learning,Stacked Sparse Autoencoder (SSAE),Yes,,Local,Mg/ha,21.753
M184,S57,Sierra-Madre-Occidental,Lopez-Serrano et al. 2016,2016,Forests,Mexico,North-America,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,M5 Model Tree,No,201,Local,Mg/ha,50.47
M185,S57,Sierra-Madre-Occidental,Lopez-Serrano et al. 2016,2016,Forests,Mexico,North-America,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,M5 Model Tree,No,201,Local,Mg/ha,42.17
M186,S57,Sierra-Madre-Occidental,Lopez-Serrano et al. 2016,2016,Forests,Mexico,North-America,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,Optical-only,No,Machine-learning,M5 Model Tree,Yes,201,Local,Mg/ha,39.4
M187,S57,Howland-Maine,Sun et al. 2011,2011,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Hilly,No,Missing,30,Medium,SAR+LiDAR,Yes,Statistical,Linear Regression,Yes,112,Local,Mg/ha,31.33
M190,S60,Minas-Gerais-Eucalyptus,Domingues et al. 2019,2019,Computers and Electronics in Agriculture,Brazil,South-America,Subtropical,Plantation,Flat / Lowland,No,Missing,10,Fine,Optical+SAR,Yes,Machine-learning,Artificial Neural Network (ANN),Yes,206,Local,Mg/ha,3.59
M191,S61,Miengwe-Miombo-Zambia,Shamaoma et al. 2024,2024,Plant Methods,Zambia,East-Africa,Tropical,Deciduous forest,Complex terrain,No,Missing,20,Fine,LiDAR+Optical,Yes,Statistical,Multiple Linear Regression,Yes,700,Local,Mg/ha,27.97
M195,S64,Denmark,Nord-Larsen & Schumacher 2012,2012,Remote Sensing of Environment,Denmark,Europe,Temperate,Mixed forest,Flat / Lowland,No,Missing,,,LiDAR-only,No,Statistical,Nonlinear Regression,No,1267,National,Mg/ha,7.58
